Afrikaans	Danish	Dutch	English	Esperanto	Filipino	French	German	Hawaiian	Irish	Italian	Latin	Maori	Norwegian	Portuguese	Sachin-Speak	Spanish	Swahili	Swedish	Welsh	Zulu	
as	som	als	as	kiel	bilang	comme	wie	e like me	mar	come	ut	rite	som	como	Spagoot	como	kama	som	fel	njengoba	
ek	jeg	ik	i	mi	ako	je	ich	wau	mé	io	sum	ahau	jeg	eu	lemo	yoyo	mimi	jag	yr wyf	mina	
sy	hans	zijn	his	sian	kanyang	son	seine	kona	a	il suo	eius	tona	hans	seu	?	su	yake	hans	ei	wakhe	
wat	at	dat	that	ke	na	que	dass	ia	go	che	quod	e	at	que	?	que	kwamba	att	bod	ukuthi	
hy	han	hij	he	li	siya	il	er	ka mea	sé	lui	ipse	e ia	han	ele	?	él	yeye	han	ef	yena	
was	var	was	was	estis	noon ay	était	war	ia	bhí	era	fuit	ko	var	foi	?	era	mara	var	oedd	kwaba	
vir	til	voor	for	por	para sa	pour	für	no ka mea	do	per	nam	hoki	for	para	?	para	kwa	för	gyfer	ngoba	
op	på	op	on	sur	sa	sur	auf	maluna o	ar	su	in	runga i	på	em	?	en	juu ya	på	ar	on	
is	er	zijn	are	estas	ay	sont	sind	ua	tá	sono	sunt	ko	er	são	?	son	wako	är	yn	kukhona	
met	med	met	with	kun	may	avec	mit	me	le	con	cum	ki	med	com	?	con	kwa	med	gyda	nge	
hulle	de	ze	they	ili	sila	ils	sie	lakou	siad	essi	illi	ratou	de	eles	?	ellos	wao	de	maent	bona	
wees	være	zijn	be	esti	maging	être	sein	e	bheith	essere	esse	kia	være	ser	?	ser	kuwa	vara	fod yn	kube	
op	på	bij	at	ĉe	sa	à	bei	ma	ag	a	at	i	på	em	?	en	katika	vid	yn	at	
een	en	een	one	unu	isa	un	ein	ʻekahi	amháin	uno	unum	kotahi	ett	uma	?	uno	moja	ett	un	eyodwa	
het	har	hebben	have	havos	mayroon	avoir	haben	loaa	tá	avere	habent	e	har	tem	?	tener	na	ha	wedi	abe	
hierdie	dette	deze	this	tiu	ito	ce	dies	keia	seo	questo	hoc	tenei	dette	este	?	este	hii	detta	hwn	le	
uit	fra	van	from	el	mula sa	à partir de	aus	mai	ó	da	de	mei	fra	a partir de	?	desde	kutoka	från	o	kusuka	
deur	ved	door	by	per	sa pamamagitan ng	par	durch	ma	ag	da	by	by	etter	por	?	por	na	genom	gan	by	
warm	hot	heet	hot	varmega	mainit	chaud	heiß	anal	te	caldo	calidum	wera	varm	quente	?	caliente	moto	het	poeth	esishisayo	
woord	ord	woord	word	vorto	salita	mot	wort	olelo	focal	parola	verbo	kupu	ordet	palavra	?	palabra	neno	ord	gair	igama	
maar	men	maar	but	sed	ngunit	mais	aber	aka	ach	ma	sed	engari	men	mas	?	pero	lakini	men	ond	kodwana	
wat	hvad	wat	what	kio	kung ano	que	was	ka mea	cad	cosa	quod	te aha	hva	o que	?	qué	nini	vad	beth	lokho	
sommige	nogle	sommige	some	iuj	ilang	certains	einige	kekahi	roinnt	alcuni	aliqua	etahi	noen	alguns	?	algunos	baadhi	några	rhai	kwezinye	
is	er	is	is	estas	ay	est	ist	ka mea	tá	è	est	ko te	er	é	?	es	ni	är	yw	kuyinto	
dit	det	het	it	ĝi	ito	il	es	ia	sé	esso	quod	reira	den	ele	?	lo	yake	den	mae’n	it	
jy	du	u	you	vi	sa iyo	vous	sie	oe	tú	voi	vos	koutou	du	você	?	usted	ninyi	du	chi	wena	
of	eller	of	or	aŭ	o	ou	oder	ai ole ia	nó	o	vel	ranei	eller	ou	?	o	au	eller	neu	noma	
moes	havde	had	had	havis	nagkaroon	eu	hatte	i	bhí	aveva	quod	ia	hadde	teve	?	tenido	alikuwa	hade	roedd gan	kwadingeka	
die	den	de	the	la	ang	la	die	ka	an	il	in	te	den	o	?	la	akaonekana	den	â’r	lo	
van	af	van	of	de	ng	de	von	a	ar	di	de	o	av	de	?	de	ya	av	yr	of	
te	til	aan	to	por	sa	à	zu	i	go	a	ut	ki	til	a	?	a	kwa	till	i’r	kuya	
en	og	en	and	kaj	at	et	und	a	agus	e	et	ka	og	e	?	y	na	och	a’r	futhi	
‘n	en	een	a	a	isang	un	ein	he	a	un	a	a	en	uma	?	un	a	en	mae	a	
in	i	in	in	en	sa	dans	bei	iloko o	i	in	in	i roto i te	i	em	?	en	katika	i	yn	in	
ons	vi	we	we	ni	namin	nous	wir	makou	againn	noi	nos	tatou i	vi	nós	?	nos	sisi	vi	rydym	thina	
kan	kan	kan	can	povas	maaari	boîte	können	hiki	is féidir	lattina	potest	taea e	kan	lata	?	lata	unaweza	kan	gall	okusemandleni	
uit	ud	uit	out	el	out	dehors	aus	aku	amach	fuori	ex	i roto i	ut	fora	?	fuera	nje	ut	allan	ukuphuma	
ander	andre	andere	other	aliaj	ibang	autre	andere	kekahi	eile	altro	alia	atu	andre	outro	?	otros	nyingine	andra	arall	ezinye	
was	var	waren	were	estis	ay	étaient	waren	he	bhí	erano	erant	he	var	foram	?	eran	walikuwa	var	roedd	babengamadoda	
wat	som	die	which	kio	kung saan	qui	die	ka mea	a	che	quibus	nei	som	que	?	que	ambayo	vilken	sy’n	okuyinto	
doen	gøre	doen	do	fari	gawin	faire	tun	hana	dhéanamh	fare	facite	te mahi	gjøre	fazer	?	hacer	kufanya	göra	wneud	enza	
hul	deres	hun	their	iliaj	ang kanilang	leur	ihre	ko lakou	n	loro	eorum	ratou	deres	seu	?	su	yao	deras	eu	yabo	
tyd	tid	tijd	time	tempo	oras	temps	zeit	manawa	am	tempo	tempore	te wā	tid	tempo	?	tiempo	wakati	tid	amser	nesikhathi	
indien	hvis	indien	if	se	kung	si	wenn	ina	más rud é	se	si	ki te	hvis	se	?	si	kama	om	os	uma	
